name,employer,salary_from,salary_to,salary_from_rub,salary_to_rub,currency,experience,schedule,url
Директор по цифровой трансформации (CDO/Head of Digital),iFCM,,,,,,Более 6 лет,Полный день,https://hh.ru/vacancy/127928417
"Junior Data Scientist (Python, ML) / Дата-сайентист",Rubbles,80000.0,100000.0,80000.0,100000.0,RUR,От 1 года до 3 лет,Удаленная работа,https://hh.ru/vacancy/127063385
"Junior Data Scientist, Speech, Machine Learning",Silero,60000.0,100000.0,60000.0,100000.0,RUR,Нет опыта,Полный день,https://hh.ru/vacancy/127706118
Системный аналитик,АФЛТ-Системс,,,,,,От 3 до 6 лет,Полный день,https://hh.ru/vacancy/127436082
Data Scientist / ML engineer / Data science,Selecty,,,,,,От 1 года до 3 лет,Удаленная работа,https://hh.ru/vacancy/127517962
ML-аналитик / Data Scientist,ЮНИСТРИМ БАНК,,,,,,Нет опыта,Полный день,https://hh.ru/vacancy/127202494
Data Scientist/Аналитик данных (Москва_гибрид),"Бристоль, сеть магазинов",,,,,,От 1 года до 3 лет,Полный день,https://hh.ru/vacancy/127855846
Ведущий разработчик искусственного интеллекта/Middle Data scientist,Геномед,180000.0,180000.0,180000.0,180000.0,RUR,От 1 года до 3 лет,Удаленная работа,https://hh.ru/vacancy/126970916
Junior Data Scientist,АДВ,,,,,,Нет опыта,Полный день,https://hh.ru/vacancy/127446104
Data Scientist (MedTech),Правительство Москвы,,,,,,От 1 года до 3 лет,Полный день,https://hh.ru/vacancy/127949893
Аналитик данных в команду Прогноза промо-продаж,X5 Tech,,,,,,От 1 года до 3 лет,Полный день,https://hh.ru/vacancy/127837717
Middle data scientist/ai engineer,билайн,,,,,,От 1 года до 3 лет,Полный день,https://hh.ru/vacancy/127952379
Стажер-ресечер,МТС,50000.0,50000.0,50000.0,50000.0,RUR,Нет опыта,Полный день,https://hh.ru/vacancy/126332802
Data Scientist,Цифровые технологии и платформы,,,,,,От 3 до 6 лет,Удаленная работа,https://hh.ru/vacancy/127824067
Middle Data Scientist NLP/LLM (AI Agents),Ecom.tech,,,,,,От 1 года до 3 лет,Удаленная работа,https://hh.ru/vacancy/127891058
ML Engineer / Data Scientist (персонализация),"МАГНИТ, Розничная сеть",,,,,,От 1 года до 3 лет,Удаленная работа,https://hh.ru/vacancy/127844734
"Разработчик C#, Поисковый Спайдер",Ozon,,,,,,От 3 до 6 лет,Удаленная работа,https://hh.ru/vacancy/127912306
Senior/middle Data Scientist,ГК Орбита,370000.0,433000.0,370000.0,433000.0,RUR,Более 6 лет,Удаленная работа,https://hh.ru/vacancy/127952722
Data Scientist (NLP / Generative AI),ИНФИМУМ,100000.0,200000.0,100000.0,200000.0,RUR,От 1 года до 3 лет,Удаленная работа,https://hh.ru/vacancy/127770135
Middle Data Scientist (ML) / Дата-сайентист,Арнест ЮниРусь,,,,,,От 1 года до 3 лет,Удаленная работа,https://hh.ru/vacancy/126655373
Data Scientist,Банки.ру,,,,,,От 3 до 6 лет,Полный день,https://hh.ru/vacancy/127878477
Data Scientist / ML Engineer,Синхро,,,,,,От 3 до 6 лет,Полный день,https://hh.ru/vacancy/127794006
Data Scientist,Детский мир,,300000.0,,300000.0,RUR,От 3 до 6 лет,Удаленная работа,https://hh.ru/vacancy/127795453
Data scientist (департамент развития отношений с клиентами),Банк Русский Стандарт,250000.0,,250000.0,,RUR,От 1 года до 3 лет,Полный день,https://hh.ru/vacancy/127815065
Data Scientist (команда перспективных алгоритмов машинного обучения),Банк ВТБ (ПАО),,,,,,От 1 года до 3 лет,Полный день,https://hh.ru/vacancy/126924082
Data Scientist / ML Engineer,АПТЕКИ ВАША № 1,,,,,,От 1 года до 3 лет,Полный день,https://hh.ru/vacancy/121370571
"Java разработчик, Поисковая платформа",Ozon,,,,,,От 3 до 6 лет,Удаленная работа,https://hh.ru/vacancy/117835206
Data Scientist,Октопустех,,,,,,От 1 года до 3 лет,Удаленная работа,https://hh.ru/vacancy/127401542
Руководитель ML / Chapter Lead в Wildberries Fintech/Банк,WILDBERRIES,,,,,,Более 6 лет,Удаленная работа,https://hh.ru/vacancy/127837438
Ведущий разработчик Greenplum + Python,Инфосистемы Джет,,,,,,Более 6 лет,Полный день,https://hh.ru/vacancy/127968499
Senior ML engineer (классический ML) / Data scientist,Константа,,,,,,Более 6 лет,Удаленная работа,https://hh.ru/vacancy/126108668
Data Scientist,IEK GROUP,,,,,,От 3 до 6 лет,Удаленная работа,https://hh.ru/vacancy/127784625
Chief Data Scientist (CDS),Управляющая компания Первая,,,,,,От 3 до 6 лет,Полный день,https://hh.ru/vacancy/127930279
Data Scientist Middle+,НЕЙРОВИЖН,300000.0,,300000.0,,RUR,От 3 до 6 лет,Удаленная работа,https://hh.ru/vacancy/127528191
Data Scientist (валидация моделей),Московский Кредитный Банк,,,,,,От 1 года до 3 лет,Полный день,https://hh.ru/vacancy/127622490
